INSERT INTO Taxi VALUES ('YPP6492', 'Renault', 'Citroen', '2003', 'LP881328');
INSERT INTO Taxi VALUES ('LFL1658', 'BWM', 'Jeep', '2012', 'TC726073');
INSERT INTO Taxi VALUES ('LBU3163', 'Renault', 'Peugeot', '2019', 'FF938006');
INSERT INTO Taxi VALUES ('CHY8016', 'Suzuki', 'Volkswagen', '2016', 'XN327974');
INSERT INTO Taxi VALUES ('KCD0556', 'Citroen', 'Volkswagen', '2009', 'CK821038');
INSERT INTO Taxi VALUES ('XIO2709', 'BYD', 'Suzuki', '2000', 'AT769185');
INSERT INTO Taxi VALUES ('LLL5011', 'Nissan', 'BWM', '2022', 'MI746483');
INSERT INTO Taxi VALUES ('YDY3796', 'Peugeot', 'Citroen', '2006', 'TQ924260');
INSERT INTO Taxi VALUES ('ZVK3746', 'Jeep', 'Peugeot', '2007', 'LV329985');
INSERT INTO Taxi VALUES ('VTU8074', 'Fiat', 'Volkswagen', '2003', 'BD452342');
INSERT INTO Taxi VALUES ('EXM0542', 'Fiat', 'Peugeot', '1998', 'DD004420');
INSERT INTO Taxi VALUES ('RCM4155', 'Jeep', 'Volkswagen', '2009', 'VF156363');
INSERT INTO Taxi VALUES ('UTZ5120', 'Suzuki', 'Renault', '2015', 'QD963712');
INSERT INTO Taxi VALUES ('ZGN4319', 'Jaguar', 'Suzuki', '2011', 'QM884921');
INSERT INTO Taxi VALUES ('FZH8297', 'Marcopolo', 'BYD', '2017', 'YZ290306');
INSERT INTO Taxi VALUES ('JKH8847', 'Citroen', 'Mitsubishi', '2011', 'EW240517');
INSERT INTO Taxi VALUES ('YUZ9129', 'Suzuki', 'Suzuki', '2002', 'BN705674');
INSERT INTO Taxi VALUES ('ATE0148', 'Mitsubishi', 'Suzuki', '2018', 'AJ844582');
INSERT INTO Taxi VALUES ('WXT7170', 'Peugeot', 'Citroen', '2024', 'BG562277');
INSERT INTO Taxi VALUES ('AIE7985', 'Suzuki', 'Honda', '2024', 'WW523703');
INSERT INTO Taxi VALUES ('XTE2185', 'Citroen', 'Honda', '2016', 'YD156757');
INSERT INTO Taxi VALUES ('HNI5111', 'Honda', 'Renault', '2015', 'CX454584');
INSERT INTO Taxi VALUES ('YDF4189', 'Mitsubishi', 'Suzuki', '2000', 'FQ243317');
INSERT INTO Taxi VALUES ('GRX8065', 'Jeep', 'Honda', '2013', 'UA555490');
INSERT INTO Taxi VALUES ('YCH2302', 'Nissan', 'Jaguar', '2001', 'BL173318');
INSERT INTO Taxi VALUES ('RAA9583', 'Peugeot', 'Suzuki', '2006', 'TW705737');
INSERT INTO Taxi VALUES ('IBV8451', 'Peugeot', 'Honda', '2018', 'FE423584');
INSERT INTO Taxi VALUES ('OCT6191', 'Nissan', 'Marcopolo', '1999', 'JQ482871');
INSERT INTO Taxi VALUES ('HFR5390', 'Nissan', 'Renault', '2016', 'WR035294');
INSERT INTO Taxi VALUES ('FOW1214', 'Fiat', 'Suzuki', '2019', 'KZ088328');
INSERT INTO Taxi VALUES ('ZAV6884', 'Citroen', 'Peugeot', '2003', 'QM053813');
INSERT INTO Taxi VALUES ('GXF4764', 'Mitsubishi', 'Peugeot', '2023', 'TN996025');
INSERT INTO Taxi VALUES ('OPZ1473', 'Suzuki', 'Jaguar', '2018', 'QS201724');
INSERT INTO Taxi VALUES ('VEQ8794', 'GWM', 'Citroen', '2006', 'DF562622');
INSERT INTO Taxi VALUES ('RAG5206', 'Jeep', 'BWM', '2010', 'SM960197');
INSERT INTO Taxi VALUES ('JEK6300', 'Jaguar', 'BWM', '2018', 'WK661618');
INSERT INTO Taxi VALUES ('KJB5224', 'Nissan', 'Honda', '2022', 'DQ039791');
INSERT INTO Taxi VALUES ('SDS2777', 'Volkswagen', 'Renault', '2008', 'WB875559');
INSERT INTO Taxi VALUES ('QUK8898', 'BYD', 'Suzuki', '2008', 'BZ490090');
INSERT INTO Taxi VALUES ('TBO3064', 'Jaguar', 'Nissan', '2014', 'XB666867');
INSERT INTO Taxi VALUES ('JJM0413', 'Renault', 'Honda', '2019', 'MN216723');
INSERT INTO Taxi VALUES ('CYC6459', 'Suzuki', 'Citroen', '2021', 'ZR986848');
INSERT INTO Taxi VALUES ('NTG8910', 'Nissan', 'Nissan', '2006', 'TF152851');
INSERT INTO Taxi VALUES ('JTF4552', 'Marcopolo', 'Volkswagen', '2009', 'JR273581');
INSERT INTO Taxi VALUES ('PRK3712', 'Suzuki', 'Volkswagen', '2017', 'YV816672');
INSERT INTO Taxi VALUES ('SPD6771', 'BWM', 'Honda', '2009', 'BW587168');
INSERT INTO Taxi VALUES ('EBZ9033', 'Honda', 'Mitsubishi', '2007', 'PE576113');
INSERT INTO Taxi VALUES ('QKH8417', 'Honda', 'Suzuki', '2017', 'FV153824');
INSERT INTO Taxi VALUES ('KCU9866', 'Honda', 'Jeep', '2013', 'SM906648');
INSERT INTO Taxi VALUES ('LAM7241', 'Renault', 'Citroen', '2001', 'YN668363');
INSERT INTO Taxi VALUES ('NYD9451', 'Honda', 'Marcopolo', '2021', 'AW678580');
INSERT INTO Taxi VALUES ('UAV3678', 'Nissan', 'GWM', '2009', 'JY842238');
INSERT INTO Taxi VALUES ('WYY5121', 'Nissan', 'Mitsubishi', '2008', 'EZ434977');
INSERT INTO Taxi VALUES ('PYD4343', 'Citroen', 'Jaguar', '2013', 'NW025519');
INSERT INTO Taxi VALUES ('UHH5540', 'Volkswagen', 'Volkswagen', '2020', 'RK211229');
INSERT INTO Taxi VALUES ('DHQ5853', 'Fiat', 'Renault', '2018', 'CR248638');
INSERT INTO Taxi VALUES ('PCN3239', 'Nissan', 'GWM', '1999', 'MV048968');
INSERT INTO Taxi VALUES ('OPK5803', 'Fiat', 'Jaguar', '2008', 'RG494858');
INSERT INTO Taxi VALUES ('KMP7503', 'Honda', 'Mitsubishi', '2007', 'XC668896');
INSERT INTO Taxi VALUES ('CNZ6780', 'Suzuki', 'Honda', '2005', 'KR270579');
INSERT INTO Taxi VALUES ('NDN5750', 'Nissan', 'Citroen', '2019', 'WI587859');
INSERT INTO Taxi VALUES ('SGR5047', 'Fiat', 'Mitsubishi', '2007', 'XM010714');
INSERT INTO Taxi VALUES ('RBW2192', 'Nissan', 'Toyota', '2006', 'DU911270');
INSERT INTO Taxi VALUES ('RLH7515', 'BYD', 'Mitsubishi', '2010', 'ME219777');
INSERT INTO Taxi VALUES ('FSS9804', 'Suzuki', 'Suzuki', '2002', 'GO550662');
INSERT INTO Taxi VALUES ('EIO7770', 'Mitsubishi', 'Renault', '2001', 'UX328648');
INSERT INTO Taxi VALUES ('AGG4715', 'Jaguar', 'Citroen', '2024', 'AD651596');
INSERT INTO Taxi VALUES ('FCO4772', 'Mitsubishi', 'GWM', '2003', 'MR553764');
INSERT INTO Taxi VALUES ('GPZ2399', 'Suzuki', 'Peugeot', '2011', 'XA277235');
INSERT INTO Taxi VALUES ('GQS8989', 'GWM', 'Jeep', '2000', 'IT517532');
INSERT INTO Taxi VALUES ('CAV1283', 'Volkswagen', 'Suzuki', '2024', 'LV554974');
INSERT INTO Taxi VALUES ('WTT6407', 'Nissan', 'GWM', '1999', 'RJ797209');
INSERT INTO Taxi VALUES ('ZGW5692', 'Suzuki', 'BWM', '2022', 'SZ720891');
INSERT INTO Taxi VALUES ('ZJF1733', 'Jaguar', 'Honda', '2016', 'OE748022');
INSERT INTO Taxi VALUES ('NDS5884', 'Volkswagen', 'Marcopolo', '2015', 'ZO483085');
INSERT INTO Taxi VALUES ('YBX0402', 'Renault', 'Jaguar', '2013', 'KE037201');
INSERT INTO Taxi VALUES ('OVC0033', 'Nissan', 'Nissan', '2001', 'KZ244721');
INSERT INTO Taxi VALUES ('WBN9145', 'BYD', 'Mitsubishi', '1998', 'ZL546141');
INSERT INTO Taxi VALUES ('LBA7639', 'Suzuki', 'BYD', '2024', 'MT955276');
INSERT INTO Taxi VALUES ('RYV1385', 'Jaguar', 'Jeep', '2017', 'HE643275');
INSERT INTO Taxi VALUES ('JXF6303', 'Volkswagen', 'Citroen', '1998', 'GJ989486');
INSERT INTO Taxi VALUES ('XLE1689', 'Volkswagen', 'Jeep', '2024', 'UO113135');
INSERT INTO Taxi VALUES ('ETB5542', 'Mitsubishi', 'Honda', '2015', 'LC411431');
INSERT INTO Taxi VALUES ('WCF2430', 'Renault', 'Fiat', '2015', 'QX894922');
INSERT INTO Taxi VALUES ('HHY9746', 'Honda', 'BYD', '2009', 'HC416756');
INSERT INTO Taxi VALUES ('ANH3352', 'BWM', 'Renault', '2016', 'DA962153');
INSERT INTO Taxi VALUES ('XYY1281', 'GWM', 'Nissan', '2003', 'LZ514669');
INSERT INTO Taxi VALUES ('GPN9586', 'Nissan', 'Jaguar', '2000', 'GW467905');
INSERT INTO Taxi VALUES ('YQX3984', 'Volkswagen', 'Fiat', '2005', 'WY494172');
INSERT INTO Taxi VALUES ('JFZ3472', 'Mitsubishi', 'Suzuki', '2020', 'FL675643');
INSERT INTO Taxi VALUES ('FXB6135', 'Jaguar', 'BWM', '2007', 'DQ573826');
INSERT INTO Taxi VALUES ('XKH3057', 'Honda', 'Mitsubishi', '2017', 'AU220954');
INSERT INTO Taxi VALUES ('HWS4191', 'Volkswagen', 'Marcopolo', '2011', 'JZ413629');
INSERT INTO Taxi VALUES ('WAM1016', 'Renault', 'Renault', '2021', 'WA200942');
INSERT INTO Taxi VALUES ('LIC4676', 'Marcopolo', 'Renault', '2007', 'EX390815');
INSERT INTO Taxi VALUES ('KOW3464', 'BWM', 'Jeep', '2022', 'GE159956');
INSERT INTO Taxi VALUES ('HVO8275', 'BWM', 'Suzuki', '2018', 'CL929591');
INSERT INTO Taxi VALUES ('MZB4462', 'Renault', 'Honda', '2018', 'GO072071');
INSERT INTO Taxi VALUES ('WSI0182', 'Fiat', 'Jeep', '2006', 'FH500129');
INSERT INTO Taxi VALUES ('ZCG8805', 'Honda', 'Volkswagen', '2017', 'XE492583');
INSERT INTO Taxi VALUES ('LVF5577', 'Volkswagen', 'Toyota', '2021', 'MW379832');
INSERT INTO Taxi VALUES ('TKH7395', 'BWM', 'Volkswagen', '2007', 'YK446046');
INSERT INTO Taxi VALUES ('RUX6218', 'Volkswagen', 'Peugeot', '2024', 'WZ911946');
INSERT INTO Taxi VALUES ('SSQ4871', 'BWM', 'BYD', '2013', 'NI944159');
INSERT INTO Taxi VALUES ('ZWT2685', 'Suzuki', 'Peugeot', '2008', 'TC770799');
INSERT INTO Taxi VALUES ('GTW9618', 'Jeep', 'GWM', '2006', 'TO161487');
INSERT INTO Taxi VALUES ('DQA1356', 'Honda', 'Honda', '2014', 'BL449417');
INSERT INTO Taxi VALUES ('MKA0768', 'Jaguar', 'Suzuki', '2006', 'VJ486277');
INSERT INTO Taxi VALUES ('ZBL5051', 'Peugeot', 'Nissan', '2001', 'KO131216');
INSERT INTO Taxi VALUES ('AVH9380', 'Marcopolo', 'Suzuki', '2018', 'QT760228');
INSERT INTO Taxi VALUES ('DWE5345', 'Suzuki', 'Suzuki', '2012', 'GS774047');
INSERT INTO Taxi VALUES ('DNM2245', 'Suzuki', 'Peugeot', '2004', 'RY114534');
INSERT INTO Taxi VALUES ('MAJ7448', 'Citroen', 'Suzuki', '2019', 'ZW425747');
INSERT INTO Taxi VALUES ('BMH8164', 'GWM', 'Toyota', '2002', 'KD949342');
INSERT INTO Taxi VALUES ('MID9532', 'Volkswagen', 'Renault', '2018', 'OV769998');
INSERT INTO Taxi VALUES ('CIW2227', 'Nissan', 'GWM', '2011', 'MT368739');
INSERT INTO Taxi VALUES ('LNX9467', 'Peugeot', 'BWM', '2006', 'ON030495');
INSERT INTO Taxi VALUES ('TUD8092', 'Jeep', 'Citroen', '2024', 'QL657089');
INSERT INTO Taxi VALUES ('GUM2238', 'Nissan', 'Mitsubishi', '2005', 'BI359509');
INSERT INTO Taxi VALUES ('KVB0952', 'BWM', 'Suzuki', '2001', 'VM460614');
INSERT INTO Taxi VALUES ('HUA8065', 'Nissan', 'Peugeot', '2011', 'HC121949');
INSERT INTO Taxi VALUES ('OBS6596', 'Peugeot', 'Mitsubishi', '2006', 'ST516879');
INSERT INTO Taxi VALUES ('CYS5166', 'Volkswagen', 'BYD', '2009', 'CC213178');
INSERT INTO Taxi VALUES ('DHX8198', 'Suzuki', 'Honda', '2001', 'DD103236');
INSERT INTO Taxi VALUES ('ZED0350', 'Nissan', 'Honda', '2019', 'FZ222089');
INSERT INTO Taxi VALUES ('BMG6528', 'Marcopolo', 'Jeep', '2012', 'IE234633');
INSERT INTO Taxi VALUES ('WTO7619', 'Volkswagen', 'Nissan', '2004', 'LX918418');
INSERT INTO Taxi VALUES ('LZQ0586', 'Toyota', 'Volkswagen', '2015', 'YW445774');
INSERT INTO Taxi VALUES ('FFX6798', 'BYD', 'Jaguar', '2014', 'FJ581597');
INSERT INTO Taxi VALUES ('LKH2923', 'Volkswagen', 'Honda', '2009', 'HZ201298');
INSERT INTO Taxi VALUES ('PVX2628', 'Citroen', 'Mitsubishi', '2008', 'GL581576');
INSERT INTO Taxi VALUES ('RJP1739', 'Citroen', 'Volkswagen', '2014', 'UP103169');
INSERT INTO Taxi VALUES ('WOO6554', 'GWM', 'Citroen', '2008', 'MU965232');
INSERT INTO Taxi VALUES ('UUQ3221', 'BYD', 'Marcopolo', '2015', 'WD056191');
INSERT INTO Taxi VALUES ('VVP1460', 'Nissan', 'GWM', '2022', 'UV189606');
INSERT INTO Taxi VALUES ('BAO0669', 'Fiat', 'Volkswagen', '2017', 'FI518479');
INSERT INTO Taxi VALUES ('MTD1297', 'Jaguar', 'Citroen', '2019', 'KL170400');
INSERT INTO Taxi VALUES ('DYJ8115', 'Fiat', 'Toyota', '2012', 'GE885035');
INSERT INTO Taxi VALUES ('FKL6249', 'Suzuki', 'Renault', '2004', 'PG102304');
INSERT INTO Taxi VALUES ('STO2045', 'Nissan', 'Fiat', '2012', 'ZX047594');
INSERT INTO Taxi VALUES ('AEN8110', 'Nissan', 'Fiat', '2013', 'QP994179');
INSERT INTO Taxi VALUES ('CUW4075', 'Fiat', 'BWM', '2002', 'WB526266');
INSERT INTO Taxi VALUES ('EAY3644', 'Renault', 'Honda', '1998', 'JS452510');
INSERT INTO Taxi VALUES ('IHX8786', 'Citroen', 'Toyota', '2010', 'SQ936304');
INSERT INTO Taxi VALUES ('JQN4624', 'Jeep', 'Honda', '2013', 'UE475518');
INSERT INTO Taxi VALUES ('HKY1228', 'Volkswagen', 'Nissan', '2008', 'SW905383');
INSERT INTO Taxi VALUES ('BLG4779', 'Renault', 'Honda', '2004', 'IA740047');
INSERT INTO Taxi VALUES ('EYA0067', 'Volkswagen', 'Nissan', '2005', 'ZM191585');
INSERT INTO Taxi VALUES ('PPQ9542', 'GWM', 'Citroen', '2019', 'YH842176');
INSERT INTO Taxi VALUES ('FHZ1427', 'Fiat', 'Fiat', '2005', 'NY106187');
INSERT INTO Taxi VALUES ('RCQ6320', 'BWM', 'BWM', '2016', 'ND766807');
INSERT INTO Taxi VALUES ('NNA6264', 'Honda', 'Citroen', '2024', 'IO101739');
INSERT INTO Taxi VALUES ('DOI5337', 'Fiat', 'Jaguar', '2008', 'PR601725');
INSERT INTO Taxi VALUES ('NKO0219', 'Renault', 'BYD', '2020', 'RH363121');
INSERT INTO Taxi VALUES ('KPW8545', 'BYD', 'Renault', '2017', 'PC950786');
INSERT INTO Taxi VALUES ('AED6205', 'Jeep', 'BWM', '2007', 'XT908377');
INSERT INTO Taxi VALUES ('VUH8817', 'Renault', 'Citroen', '2012', 'XD362156');
INSERT INTO Taxi VALUES ('FED2174', 'Fiat', 'Jeep', '2024', 'LG058135');
INSERT INTO Taxi VALUES ('OSG5076', 'Citroen', 'Suzuki', '1998', 'OW657162');
INSERT INTO Taxi VALUES ('ZEA0891', 'Peugeot', 'Mitsubishi', '2008', 'SO940745');
INSERT INTO Taxi VALUES ('ZBF8716', 'BWM', 'Volkswagen', '2004', 'VS436966');
INSERT INTO Taxi VALUES ('NVC7455', 'Jeep', 'Jaguar', '2023', 'UU357298');
INSERT INTO Taxi VALUES ('QDN1084', 'Honda', 'BYD', '2023', 'LJ988980');
INSERT INTO Taxi VALUES ('RXM1972', 'Suzuki', 'Fiat', '2022', 'XX144747');
INSERT INTO Taxi VALUES ('HMP3955', 'BWM', 'Nissan', '2008', 'RC034897');
INSERT INTO Taxi VALUES ('YIT2916', 'GWM', 'Jaguar', '2009', 'QM565896');
INSERT INTO Taxi VALUES ('UTC1779', 'GWM', 'Fiat', '2008', 'WV482971');
INSERT INTO Taxi VALUES ('BYZ3642', 'Fiat', 'Volkswagen', '2008', 'WM369379');
INSERT INTO Taxi VALUES ('ZQQ9400', 'Suzuki', 'Fiat', '2001', 'QP606817');
INSERT INTO Taxi VALUES ('KBW7281', 'BWM', 'Mitsubishi', '2007', 'BE235708');
INSERT INTO Taxi VALUES ('MTS4130', 'Honda', 'BWM', '2022', 'RA165420');
INSERT INTO Taxi VALUES ('JKV2791', 'Renault', 'Suzuki', '2000', 'AC899628');
INSERT INTO Taxi VALUES ('PHL6314', 'Volkswagen', 'Jaguar', '1999', 'QS143951');
INSERT INTO Taxi VALUES ('DBT3568', 'Nissan', 'Honda', '2018', 'PV592821');
INSERT INTO Taxi VALUES ('SWT5955', 'Honda', 'Citroen', '2008', 'ER323520');
INSERT INTO Taxi VALUES ('GEQ5949', 'BWM', 'Suzuki', '2020', 'YG336248');
INSERT INTO Taxi VALUES ('CVJ7658', 'Nissan', 'Jaguar', '2017', 'XQ941857');
INSERT INTO Taxi VALUES ('IHN5654', 'Honda', 'Renault', '1999', 'AV680615');
INSERT INTO Taxi VALUES ('OMR9165', 'Jaguar', 'GWM', '2020', 'XD560257');
INSERT INTO Taxi VALUES ('YUY7929', 'Jaguar', 'Nissan', '2000', 'BU395797');
INSERT INTO Taxi VALUES ('PXV5461', 'Nissan', 'Nissan', '2006', 'HK682988');
INSERT INTO Taxi VALUES ('OIP7141', 'Honda', 'Jeep', '2002', 'TO882023');
INSERT INTO Taxi VALUES ('MCZ2792', 'BWM', 'Jaguar', '2019', 'VA691686');
INSERT INTO Taxi VALUES ('TQQ5653', 'Peugeot', 'Nissan', '2014', 'FI325883');
INSERT INTO Taxi VALUES ('JCN1594', 'Suzuki', 'Citroen', '2009', 'MV500017');
INSERT INTO Taxi VALUES ('BKV9007', 'Marcopolo', 'Honda', '2017', 'CI709773');
INSERT INTO Taxi VALUES ('WNL8002', 'Nissan', 'BWM', '2007', 'LH450313');
INSERT INTO Taxi VALUES ('EVO1885', 'Nissan', 'Jaguar', '2017', 'PS902349');
INSERT INTO Taxi VALUES ('GLR4958', 'Mitsubishi', 'Honda', '2002', 'OD586710');
INSERT INTO Taxi VALUES ('MLD5225', 'Honda', 'BYD', '1999', 'PE476630');
INSERT INTO Taxi VALUES ('VXH1559', 'Jaguar', 'Nissan', '2008', 'OV644778');
INSERT INTO Taxi VALUES ('ZNR4216', 'Mitsubishi', 'Renault', '2022', 'FQ112980');
INSERT INTO Taxi VALUES ('ERH4758', 'Honda', 'GWM', '2022', 'SN868793');
INSERT INTO Taxi VALUES ('EGB8986', 'Fiat', 'Suzuki', '2003', 'UV860370');
INSERT INTO Taxi VALUES ('HCG7824', 'Peugeot', 'Marcopolo', '2003', 'EH090898');
INSERT INTO Taxi VALUES ('IYP4348', 'Fiat', 'GWM', '2001', 'QJ557128');
INSERT INTO Taxi VALUES ('ILC0517', 'Honda', 'Jaguar', '2005', 'AT312955');
INSERT INTO Taxi VALUES ('UKW1214', 'Volkswagen', 'Peugeot', '2018', 'QY878904');
INSERT INTO Taxi VALUES ('GJA1227', 'Jaguar', 'Honda', '2005', 'UB118342');
INSERT INTO Taxi VALUES ('NCI3376', 'BWM', 'BWM', '2012', 'MT970404');
INSERT INTO Taxi VALUES ('EAQ7330', 'Nissan', 'Honda', '2024', 'FS383350');
INSERT INTO Taxi VALUES ('SYA8270', 'Nissan', 'Volkswagen', '2020', 'XZ161253');
INSERT INTO Taxi VALUES ('TMT6955', 'Marcopolo', 'Fiat', '2006', 'HM987125');
INSERT INTO Taxi VALUES ('DCN8318', 'GWM', 'Nissan', '2001', 'AY638491');
INSERT INTO Taxi VALUES ('ZGF0361', 'Suzuki', 'Suzuki', '2010', 'OH066348');
INSERT INTO Taxi VALUES ('QEK1806', 'Fiat', 'Volkswagen', '2005', 'IS546577');
INSERT INTO Taxi VALUES ('ANB1988', 'Marcopolo', 'Renault', '2004', 'LQ019572');
INSERT INTO Taxi VALUES ('YGC6862', 'BWM', 'Volkswagen', '2018', 'UQ755288');
INSERT INTO Taxi VALUES ('QFF4840', 'Toyota', 'Jaguar', '2014', 'GU039664');
INSERT INTO Taxi VALUES ('PUE6950', 'Renault', 'Nissan', '2015', 'SX492709');
INSERT INTO Taxi VALUES ('YQE0345', 'Suzuki', 'GWM', '2004', 'SW850905');
INSERT INTO Taxi VALUES ('LCM9110', 'Nissan', 'Citroen', '1998', 'VM819824');
INSERT INTO Taxi VALUES ('NLA4661', 'Marcopolo', 'Nissan', '2005', 'PQ824474');
INSERT INTO Taxi VALUES ('QHH6609', 'Renault', 'Honda', '2017', 'WJ879867');
INSERT INTO Taxi VALUES ('WDF3944', 'Volkswagen', 'Volkswagen', '2002', 'LU887205');
INSERT INTO Taxi VALUES ('KYK8702', 'Jeep', 'Suzuki', '2007', 'AF574462');
INSERT INTO Taxi VALUES ('VYR8676', 'Nissan', 'Jeep', '2013', 'NA423126');
